Año,Día,Localidad,Latitud,Longitud,Título,Muertos,Heridos,Detenidos,Liberados,Decomisos
2012, 18 de Junio      , Monterrey ,25.698946,-100.286656, Lo dejan atado en una casa tras ser levantado en un bar ,0,0,0,0,0
2012, 18 de Junio      , Monterrey ,25.753643,-100.391201, Matan a plagiado ,0,0,0,0,0
2012, 18 de Junio      , Monterrey ,25.688177,-100.31471, Tiran a golpeado desde auto ,0,0,0,0,0
2012, 17 de Junio      , Monterrey ,25.666846,-100.305777, Balea a 2 en Barrio Antiguo tras disparar contra un bar ,0,0,0,0,0
2012, 15 de Junio      , Monterrey ,25.730573,-100.346134, Confiesa ser negociador en secuestros ,0,0,0,0,0
2012, 14 de Junio      , Monterrey ,25.646492,-100.309449, Matan pistoleros a mam&#225; de 16 a&#241;os ,0,0,0,0,0
2012, 12 de Junio      , Monterrey ,28.694215,-100.538112, Lidera menor a banda ,0,0,0,0,0
2012, 10 de Junio      , Monterrey ,25.65872,-100.317516, Muere a balazos frente a su novia ,0,0,0,0,0
2012, 9 de Junio      , Monterrey ,25.748222,-100.352813, Matan a joven y hieren a otro cuando beb&#237;an ,0,0,0,0,0
2012, 8 de Junio      , Monterrey ,25.708014,-100.281701, Delata a ejecutores de j&#243;venes raperos ,0,0,0,0,0
2012, 6 de Junio      , Monterrey ,25.647326,-100.094528, Dejan encajuelado a hombre en Ju&#225;rez ,0,0,0,0,0
2012, 5 de Junio      , Monterrey ,25.747197,-100.400684, Asesinan a hombre en sector Cumbres ,0,0,0,0,0
2012, 30 de Mayo       , Monterrey ,25.637754,-100.29758, Matan de 8 balazos a taxista en el sur ,0,0,0,0,0
2012, 29 de Mayo       , Monterrey ,25.688563,-100.350773, Pierde la vida comerciante; era inocente ,0,0,0,0,0
2012, 28 de Mayo       , Monterrey ,25.686184,-100.31496, Ejecutan a tres en el Centro  ,0,0,0,0,0
2012, 26 de Mayo       , Monterrey ,25.782355,-100.408754, Lo asesinan desde auto ,0,0,0,0,0
